ID (DC:identifier)	ASSESSORATO DIPARTIMENTO/UFFICIO SPECIALE TITOLARE (DC:creator)	TEMA DATI.GOV.IT (DCAT:theme)	TEMA EUROVOC (DCAT:theme)	SOTTOTEMA EUROVOC (DCAT:theme)	NOME DEL/DEI DATASET (DC:title)	DESCRIZIONE (DC:description)	PAROLE CHIAVE (DCAT:keyword)	PAGINA WEB (DCAT:landingPage)	URL DI PUBBLICAZIONE (DCAT:downloadURL)	FORMATO (DC:format)	LICENZA X RIUTILIZZO (DC:license)	LOCALIZZAZIONE (0 - Nessuna 1 - CAP/Comune 2 - Indirizzo 3 - coordinate geospaziali-Latitudine/Long o poligoni.)	DATA ULTIMO AGGIORNAMENTO (DC:modified)	FREQUENZA DI AGGIORNAMENTO	OBBLIGO DI PUBBLICAZIONE	ALTRO
1	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	32 ISTRUZIONE E COMUNICAZIONE	3226 COMUNICAZIONE	Numeri telefonici	Elenco dei numeri telefonici dei centralini delle strutture regionali		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Elenchitelefonici		html	NO		SI			
2	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	32 ISTRUZIONE E COMUNICAZIONE	3226 COMUNICAZIONE	Indirizzi PEC	Elenco delle caselle di posta elettronica certificata centralini delle strutture regionali		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_PostaCertificata		html	NO		SI			
3	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	04 POLITICA	0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA	Tassi di assenza	Report mensile in forma di tabella che riporta le assenze e le presenze del personale delle varie strutture regionali. Il report di solito contiene le seguenti colonne: - struttura organizzativa; - giorni lavorativi; - giorni di assenza; - giorni di presenza; - tasso di assenza; - tasso di presenza.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoRegionaleAutonomieLocaliFunzionePubblica/PIR_PersonaleAffariGenerali/PIR_AAAAAMMINISTRAZIONETRASPARENTENEW/PIR_personale/PIR_tassidiassenza		pdf	NO		SI (non tutti) 21 LUGLIO 2015			C'è una disuniformità nella pubblicazione delle informazioni tra le varie strutture: - alcuni documenti sono in pdf base e altri in pdf scannerizzato; - righe e colonne delle tabelle con diversi campi.
4	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	04 POLITICA	0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA	Incarichi amministrativi di vertice			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Incarichiamministratividivertice		html	NO		SI			
5	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	44 OCCUPAZIONE E LAVORO	4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE	Retribuzione dirigenti	Tabella con retribuzione annua lorda dei dirigenti che riporta di solito i seguenti campi: - Cognome;                       - Nome; - Stipendio tabellare; - Retribuzione individuale di anzianità; - Retribuzione di posizione; - Parte fissa; - Indennità vacanza contrattuale; - Rateo 13^ mensilità Dirigenti Generali; - Retribuzione accessoria di posizione;  - Dirigenti Generali Art. 64 ccrl; - Retribuzione di posizione Dirigenti Generali D.P. 26/99; - Contingenza Dirigenti Generali; - Retribuzione accessoria; - Parte variabileIndennita' di risultato; - Totale annuo emolumenti.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Tvm/PIR_Datiinfopersonale/PIR_Retribuzionidirigenti		pdf	NO		?			C'è una disuniformità nella pubblicazione delle informazioni tra le varie strutture: - colonne delle tabelle con campi diversi.
6	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	44 OCCUPAZIONE E LAVORO	4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE	Nominativi e CV dirigenti e titolari posizioni organizzative	Curriculum Vitae dei dirigenti e tabella con retribuzione annua lorda che riporta di solito i seguenti campi:  - stipendio tabellare; - posizione partefissa; - posizione partevariabile; - retribuzione dirisultato; - altro; - totale annuo lordo.		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Tvm/PIR_Datiinfopersonale/PIR_NominativieCVdirigenti		pdf	NO		?			C'è una disuniformità nella pubblicazione delle informazioni tra le varie strutture: - in alcuni casi CV e tabella retribuzione sono nello stesso documento per ogni dirigente, in altri casi è riportato il CV di ogni dirigente e un documento unico con le retribuzioni di tutti i dirigenti; - righe e colonne delle tabelle con campi diversi.
7	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	44 OCCUPAZIONE E LAVORO	4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE	Incarichi di natura dirigenziale conferiti a soggetti estranei all'Amministrazione			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Dirigenti/PIR_Dirigentiesterni		html	NO		SI			
8	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	44 OCCUPAZIONE E LAVORO	4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE	Incarichi e consulenze	In questa pagina sono pubblicati i dati forniti dagli Assessorati, Dipartimenti/Uffici che hanno conferito incarichi di consulenza e collaborazione		http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Consulentiecollaboratori/PIR_Consulenze		html	NO		SI			
9	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	20 SCAMBI ECONOMICI E COMMERCIALI	2006 POLITICA COMMERCIALE	Bandi di concorso	Contiene l'indice Serie Concorsi dall'anno 2005 fino al 2015,in versione integrabile scaricabile in formato PDF		http://www.gurs.regione.sicilia.it/gurs-concorsi-pdf.htm		pdf	NO		si (2015)	mensile		Gazzetta Ufficiale della Regione Siciliana - Serie Concorsi
10	Tutti i Dipartimenti e gli Uffici Speciali	Government e settore pubblico	12 DIRITTO	1221 GIUSTIZIA	Procedimenti amministrativi			http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Tvm/PIR_Datiorgeprocedimenti/PIR_Procedimentiamministrativi		pdf	NO		?			 Tabelle in forrmato diverso per i vari dipartimenti Pubblicate anche sulla GURS
