"{id}","{ufficio}","{Codice_IPA}
","{Codice_Univoco_Ufficio}
","{tema_dati_gov}","{tema_eurovoc}","{tema_eurovoc_URL}","{sottotema_eurovoc_label}","{sottotema_eurovoc_URL}","{label}","{descrizione}","{keywords}","{pagina_web}","{URL_pubblicazione}","{formato}","{licenza_riutilizzo}","{localizzazione}","{data_ultimo_aggiornamento}","{frequenza_aggiornamento}","{obbligo_di_pubblicazione}","{altro}","{data_inserimento}","{DBpediaCategories}"
"1","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Amministrazione Trasparente","Attuazione del decreto legislatiivo n33/14 2013. E' indicato il responsabile trasparenza della Regione Siciliana e le varie linee guida del decreto stesso.","trasparenza;amministrazione;decreti;atti e direttive","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente","html","NO","0","N.D.","N.D.","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-17",""
"2","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Piano triennale di prevenzione della corruzione","Piano di prevenzione della corruzione in applicazione della legge 6 novembre 2012, n. 190 ""Disposizioni per la prevenzione e la repressione della corruzione e dell'illegalità nella pubblica amministrazione""","trasparenza;integrità;corruzione;illegalità;amministrazione","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Altricontenuti/PIR_Corruzione/PIR_Pianoprevenzionecorruzione","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Altricontenuti/PIR_Corruzione/PIR_Pianoprevenzionecorruzione/P.T.P.C.%20Aggiornamento%202015-2017.pdf","pdf","NO","0","2015","N.D.","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-17",""
"3","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Atti e direttive del Responsabile per la prevenzione della corruzione e per la trasparenza","Contiene tutti gli atti e direttive del Responsabile per la prevenzione della corruzione e per la trasparenza","trasparenza;integrità;corruzione;illegalità;amministrazione","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Altricontenuti/PIR_Corruzione/PIR_AttieDirettiveRespPrev","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Altricontenuti/PIR_Corruzione/PIR_AttieDirettiveRespPrev","pdf","NO","0","giugno 2015
","N.D.","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-17",""
"4","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Programma triennale per la Trasparenza e l'Integrità","Programma per la trasparenza e l'integrità in applicazione della legge 6 novembre 2012, n. 190 ""Disposizioni per la prevenzione e la repressione della corruzione e dell'illegalità nella pubblica amministrazione""
","trasparenza;integrità;corruzione;illegalità;amministrazione","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Tvm/PIR_Programmatriennaletrasparenza","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Tvm/PIR_Programmatriennaletrasparenza/P.T.T.I.%20%20Aggiornamento%202015-2017.pdf","pdf","NO","0","gennaio 2015","N.D.","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-17",""
"5","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Numeri telefonici","Elenco dei numeri telefonici dei centralini delle strutture regionali con link agli elenchi delle varie strutture","numeri telefonici","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Elenchitelefonici","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Elenchitelefonici","html","NO","0","aggiornato ","non specificata","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-10",""
"6","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Indirizzi PEC","Elenco delle caselle di posta elettronica certificata delle strutture regionali","posta elettronica;PEC","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_PostaCertificata","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_PostaCertificata","html","NO","0","aggiornato ","non specificata","D Lgs. 33/2013 Amministrazione Trasparente (art. 13, c. 1, lett. d) del d.lgs. 33/2013.","","2015-10-10",""
"7","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Percentuali di assenza/presenza","Report trimestrale su assenze e presenze contenente:
- struttura organizzativa;
- giorni lavorativi;
- giorni di assenza;
- giorni di presenza;
- tasso di assenza;
- tasso di presenza.","assenze;presenze","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoRegionaleAutonomieLocaliFunzionePubblica/PIR_PersonaleAffariGenerali/PIR_AAAAAMMINISTRAZIONETRASPARENTENEW/PIR_personale/PIR_tassidiassenza","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_LaStrutturaRegionale/PIR_AssessoratoRegionaleAutonomieLocaliFunzionePubblica/PIR_PersonaleAffariGenerali/PIR_AAAAAMMINISTRAZIONETRASPARENTENEW/PIR_personale/PIR_tassidiassenza/II%20Trimestre.xml","xml
","NO","0","21/07/2015","Trimestrale","D Lgs. 33/2013 Amministrazione Trasparente (art. 16, c. 3 del d.lgs. 33/2013)","","2015-10-10",""
"8","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","04 POLITICA","http://eurovoc.europa.eu/442917","0436 POTERE ESECUTIVO E AMMINISTRAZIONE PUBBLICA","http://eurovoc.europa.eu/77","Incarichi amministrativi di vertice","Elenco degli incarichi amministrativi di vertice vigenti, di cui all'art 15 del d.lgs 33/2013.","incarichi;amministrazione","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Incarichiamministratividivertice","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Incarichiamministratividivertice","html","NO","0","21/09/2015","(Data di pubblicazione 24.04.2013 - Ultimo aggiornamento: 21.09.2015)","D Lgs. 33/2013 Amministrazione Trasparente  (art. 15, c. 1,2 del d.lgs. 33/2013)","","2015-10-10",""
"9","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","44 OCCUPAZIONE E LAVORO ","http://eurovoc.europa.eu/4273","4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE ","http://eurovoc.europa.eu/100235","Retribuzione dirigenti","Tabella per ogni struttura regionale con retribuzione annua lorda dei dirigenti che riporta di solito i seguenti campi:
- Cognome;                      
- Nome;
- Stipendio tabellare;
- Retribuzione individuale di anzianità;
- Retribuzione di posizione;
- Parte fissa;
- Indennità vacanza contrattuale;
- Rateo 13^ mensilità Dirigenti Generali;
- Retribuzione accessoria di posizione; 
- Dirigenti Generali Art. 64 ccrl;
- Retribuzione di posizione Dirigenti Generali D.P. 26/99;
- Contingenza Dirigenti Generali;
- Retribuzione accessoria;
- Parte variabileIndennita' di risultato;
- Totale annuo emolumenti.","retribuzione;stipendio;dirigenti","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Tvm/PIR_Datiinfopersonale/PIR_Retribuzionidirigenti","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Tvm/PIR_Datiinfopersonale/PIR_Retribuzionidirigenti","pdf","NO","0","non rilevabile in maniera certa essendo i vari dipartimenti tra di loro non aggiornati in maniera omogenea","non rilevabile in maniera certa essendo i vari dipartimenti tra di loro non aggiornati in maniera omogenea","D Lgs. 33/2013 Amministrazione Trasparente (art. 15, del d.lgs. 33/2013)","C'è una disuniformità nella pubblicazione delle informazioni tra le varie strutture:
- colonne delle tabelle con campi diversi.","2015-10-10",""
"10","Tutte le strutture regionali","r_sicili","","Government e settore pubblico","44 OCCUPAZIONE E LAVORO ","http://eurovoc.europa.eu/4273","4421 AMMINISTRAZIONE E REMUNERAZIONE DEL PERSONALE ","http://eurovoc.europa.eu/100235","Dirigenti non generali","Obblighi di pubblicazione concernenti i titolari di incarichi dirigenziali (art.15 D.Lgs 33/2013)","dirigenti;curriculum vitae","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Dirigenti/PIR_Dirigentiinterni","http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Ammtrasparente/PIR_Personale/PIR_Dirigenti/PIR_Dirigentiinterni","html","NO","0","non rilevabile in maniera certa essendo i vari dipartimenti tra di loro non aggiornati in maniera omogenea","non rilevabile in maniera certa essendo i vari dipartimenti tra di loro non aggiornati in maniera omogenea","D Lgs. 33/2013 Amministrazione Trasparente (art. 15, del d.lgs. 33/2013)","C'è una disuniformità nella pubblicazione delle informazioni tra le varie strutture:
- in alcuni casi CV e tabella retribuzione sono nello stesso documento per ogni dirigente, in altri casi è riportato il CV di ogni dirigente e un documento unico con le retribuzioni di tutti i dirigenti;
- righe e colonne delle tabelle con campi diversi.","2015-10-10",""
